admin-warning, I confirm that I want to make this user an admin., Je confirme que je veux faire de cet utilisateur un administrateur., Confirmo que quiero hacer de este usuario un administrador.,Ik bevestig dat ik deze user een beheerder wil maken.,このユーザーを管理者にすることを確認します。
advanced-search,Advanced search,Recherche avancée,Búsqueda avanzada,geavanceerd zoeken,詳細検索
all-annotations-uncategorized,All annotations uncategorized,Toutes les annotations non classées,Todas las anotaciones sin categorizar,Alle annotaties ongecategoriseerd,未分類の全アノテーション
all,All,Tous,Todos,Alle,すべて
all-channels,All channels,Tous les canaux,,Alle kanalen,全チャンネル
all-dates,All,Toutes,Todas,Alle,すべて
all-draw-tools,All draw tools,Tous les outils de tracé,Todas las herramientas de dibujo,Alle draw tools,全描画ツール
all-image-groups,All,Tous,Todo,Alle,すべて
all-images,All,Toutes,Todas,Alle,すべて
all-images-have-linked-annot,All images in the image group already have annotations linked to the copied annotation.,Toutes les images du groupe d'images ont déjà une annotation liée à l'annotation copiée.,Todas las imágenes del grupo de imágenes ya tienen anotaciones vinculadas a la anotación copiada.,Alle afbeeldingen in de afbeeldingsgroep hebben al annotaties gekoppeld aan de gekopieerde annotatie.,画像グループ内のすべての画像には、コピーされたアノテーションにリンクされたアノテーションが既に存在します。
all-ontologies,All,Toutes,Todas,Alle,すべて
all-panels,All panels,Tous les outils,Todos los paneles,Alle gereedschappen,全パネル
all-resolutions,All,Toutes,Todas,Alle,すべて
all-users-analyses,All users/analyses,Tous les utilisateurs/analyses,Todos los usuarios/análisis,Alle users/analyses,全ユーザー／解析
allowed-formats-upload-info,Supported image file formats:,Formats d'image supportés:,Formatos de imagen compatibles:,Ondersteunde beeldbestandsformaten:,対応画像ファイル形式：
already-in-other-image-group,Already in another image group,Déjà dans un autre groupe d'images,Ya en otro grupo de imágenes,Al in een andere beeldgroep,別の画像グループに既に存在します
already-in-project,Already in project,Déjà dans le projet,Ya en proyecto,Reeds in het project,既にプロジェクトに存在します
already-in-this-image-group,Already in this image group,Déjà dans ce groupe d'images,Ya en este grupo de imágenes,Al in deze beeldgroep,この画像グループに既に存在します
and-count-others,- | and one other | and {count} others,- | et un autre | et {count} autres,- | y otro | y {cuenta} otros,- | en nog een | en {tel} anderen,- | および他1件 | および他{count}件
already-linked,Already linked,Déjà lié,Ya vinculado,Reeds gekoppeld,既にリンク済み
annotated-images-vs-contributor,Annotated images VS. contributor,Images annotées VS. contributeur,Imágenes anotadas por colaborador,Geannoteerde afbeeldingen VS. bijdrager,アノテーション済み画像 VS. 貢献者
annotated-images-vs-contributors-chart-info-message,This chart presents the number of images annotated by each project member. Only annotations created during the selected period are taken into account.,ce graphique présente le nombre d'images annotées par chaque membre. Seules les annotations créées durant la période sélectionnée sont prises en compte.,Este gráfico presenta el número de imágenes anotadas por cada miembro del proyecto. Solo se tienen en cuenta las anotaciones creadas durante el período seleccionado.,"deze grafiek toont het aantal afbeeldingen dat door elk lid is geannoteerd. Alleen annotaties die tijdens de geselecteerde periode zijn gemaakt, worden in aanmerking genomen.",このチャートは各プロジェクトメンバーがアノテーションした画像数を表示します。選択した期間中に作成されたアノテーションのみが対象です。
annotated-images-vs-term,Annotated images VS. term,Images annotées VS. terme,Imágenes anotadas por término,Geannoteerde afbeeldingen VS. term,アノテーション済み画像 VS. 用語
annotated-images-vs-terms-chart-info-message,This chart presents for each term the number of images having at least one user annotation associated with this term. Only annotations created during the selected period are taken into account.,"Ce graphique présente, pour chaque terme, le nombre d'images ayant au moins une annotation associée à ce terme. Seules les annotations créées durant la période sélectionnée sont prises en compte.",Este cuadro presenta el número de imágenes que tienen al menos una anotación de usuario asociada con cada término. Solo se tienen en cuenta las anotaciones creadas durante el período seleccionado.,"Deze grafiek geeft voor elke term het aantal afbeeldingen weer met ten minste één annotatie die aan deze term is gekoppeld. Alleen annotaties die tijdens de geselecteerde periode zijn gemaakt, worden in aanmerking genomen.",このチャートは各用語について、その用語に関連付けられたユーザーアノテーションを少なくとも1件持つ画像の数を表示します。選択した期間中に作成されたアノテーションのみが対象です。
annotation-comments,Annotation comments,Commentaires,Comentarios de anotaciones,Opmerkingen,アノテーションコメント
annotation,Annotation,Annotation,Anotación,Annotatie,アノテーション
annotation-creations,Annotation creations,Créations d'annotations,Anotaciones creadas,Annotatie creaties,アノテーションの作成
annotation-details-box,Annotation details box,Boîte de détails,Cuadro de detalles de anotación,Annotatiedetails doos,アノテーション詳細ボックス
annotation-details,Annotation details,Détails de l'annotation,Detalles de anotación,Annotatiegegevens,アノテーション詳細
annotation-layers,Annotation layers,Calques d'annotations,Capas de anotación,Annotatie lagen,アノテーションレイヤー
annotation-links,Annotation links,Liens entre annotations,Enlaces de anotaciones,Annotatie koppelingen,アノテーションリンク
annotation-selections-info-message,An annotation selection is recorded each time a user selects an annotation,"À chaque fois qu'un utilisateur clique sur une annotation dans une image, une sélection d'annotation est enregistrée",Se registra una selección de anotaciones cada vez que un usuario selecciona una anotación,"Elke keer dat een user op een annotatie in een afbeelding klikt, wordt een annotatieselectie opgeslagen",アノテーション選択は、ユーザーがアノテーションを選択するたびに記録されます。
annotation-position,original annotation position,position de l'annotation originale,posición de la anotación original,oorspronkelijke annotatiepositie,元のアノテーション位置
annotation-selections,Annotation selections,Sélections d'annotations,Selecciones de anotaciones,Annotatie selecties,アノテーションの選択
annotation-type,Annotation type,Type d'annotation,Tipo de anotación,Annotatie type,アノテーションタイプ
annotations-list,Annotation list, Liste des annotations,Lista de anotaciones, Lijst met annotaties,アノテーション一覧
annotations,Annotations,Annotations,Anotaciones,Annotaties,アノテーション
annotations-vs-contributors-chart-info-message,This chart presents the number of annotation created by each project member during the selected period,Ce graphique présente le nombre d'annotations créées par chaque membre durant la période sélectionnée,Este gráfico representa el número de anotaciones creadas por cada miembro del proyecto durante el período seleccionado,Deze grafiek toont het aantal annotaties dat door elk lid tijdens de geselecteerde periode is gemaakt,このチャートは選択した期間中に各プロジェクトメンバーが作成したアノテーション数を表示します。
annotations-vs-terms-chart-info-message,This chart presents the number of manual annotation associated to each term. Only annotations created during the selected period are taken into account.,Ce graphique présente le nombre d'annotations manuelles associées à chaque terme. Seules les annotations créées durant la période sélectionnée sont prises en compte.,Este cuadro presenta el número de anotaciones manuales asociadas a cada término. Solo se tienen en cuenta las anotaciones creadas durante el período seleccionado.,"Dit diagram toont het aantal handmatige annotaties dat aan elke term is gekoppeld. Alleen annotaties die tijdens de geselecteerde periode zijn gemaakt, worden in aanmerking genomen.",このチャートは各用語に関連付けられた手動アノテーションの数を表示します。選択した期間中に作成されたアノテーションのみが対象です。
api-keys,API keys,Clés API,Claves API,API-sleutels,API キー
app-dashboard,App Dashboard,Tableau de bord de l'application,Panel de la aplicación,Applicatiedashboard,アプリダッシュボード
app-engine.ae-history,Tasks History,Historique des tâches,Historial de tareas,Eerdere taken,タスク履歴
app-engine.ae-run-task,Run Task,Exécuter la tâche,Ejecutar la tarea,Voer taak uit,タスクを実行
app-engine.applications,Applications,Applications,Aplicaciones,Toepassingen,アプリケーション
app-engine.execute-a-task,Run a task,Lancer une tâche,Ejecutor de tareas,Applicatie-uitvoerder,タスクを実行
app-engine.form.select-task,Select a task,Sélectionnez une tâche,Seleccione una tarea,Selecteer een taak,タスクを選択
app-engine.inputs.title,Inputs,Entrées,Entradas,Ingangen,入力
app-engine.name,App Engine,App Engine,App Engine,App Engine,App Engine
app-engine.outputs.title,Outputs,Sorties,Salidas,Uitgangen,出力
app-engine.parameter.name,Name,Nom,Nombre,Naam,名前
app-engine.parameter.type,Type,Type,Tipo,Type,タイプ
app-engine.parameter.value,Value,Valeur,Valor,Waarde,値
app-engine.previous-task-runs,Previous task runs,Tâches exécutées précédemment,,,過去のタスク実行
app-engine.recent-runs,Recent runs,Exécutions récentes,Ejecuciones recientes,Recente uitvoeringen,最近の実行
app-engine.run.started,Task run launched,Lancement de l'exécution de la tâche,Inicio de ejecución de tarea,Uitvoering van taak gestart,タスク実行を開始しました。
app-engine.runs.title,Runs,Exécutions,Ejecuciones,Uitvoeringen,実行一覧
app-engine.see-all-runs,See all runs,Voir toutes les exécutions,Ver todas las ejecuciones,Bekijk alle uitvoeringen,全実行を表示
app-engine.task-run.state.title,State,État,Estado,Status,状態
app-engine.task.name,Task,Tâche,Tarea,Taak,タスク
app-engine.task.upload,Upload tasks,Téléverser des tâches,Cargar tareas,Taken uploaden,タスクをアップロード
app-engine.task.no-description,No description,Pas de description,Sin descripción,Geen beschrijving,説明なし
app-engine.tasks.installed,Installed Tasks,Tâches installées,Tareas instaladas,Geïnstalleerde taken,インストール済みタスク
app-engine.tasks.name,Tasks,Tâches,Tareas,Taken,タスク
app-name,App Name,Nom de l'application,Nombre de la aplicación,App-naam,アプリ名
app-store,App Store,App Store,App Store,App Store,アプリストア
appengine-not-enabled-title,App Engine is not enabled,App Engine n'est pas activé,App Engine no está habilitado,App Engine is niet ingeschakeld,App Engine が有効になっていません
appengine-not-enabled-description,"App Engine is not enabled on your Cytomine instance. Either contact an administrator, or contact sales@cytomine.com for requesting an upgrade of your instance.",App Engine n'est pas activé sur votre instance Cytomine. Contactez un administrateur ou envoyez un e-mail à sales@cytomine.com pour demander une mise à niveau de votre instance.,App Engine no está habilitado en su instancia de Cytomine. Póngase en contacto con un administrador o envíe un correo a sales@cytomine.com para solicitar una actualización de su instancia.,App Engine is niet ingeschakeld op uw Cytomine-instantie. Neem contact op met een beheerder of stuur een e-mail naar sales@cytomine.com om een upgrade van uw instantie aan te vragen.,お使いのCytomineインスタンスではApp Engineが有効になっていません。管理者に連絡するか、インスタンスのアップグレードについてsales@cytomine.comまでお問い合わせください。
area,Area,Aire,Zona,Gebied,面積
associate-tags,Associate tags,Associer des tags,Etiquetas asociadas,Tags koppelen,タグを関連付け
associated-by,associated by {username},associé par {username},asociado por {username},geassocieerd door {usersnaam},{username} が関連付け
at,at,au,en,bij,〜時
attached-files,Attached files,Fichiers joints,Archivos adjuntos,Bijlagen files,添付ファイル
average,Average,Moyenne,Promedio,Gemiddeld,平均
barchart-click-label-to-toggle-visibility,Click on a label at the top of the chart to toggle the visibility of this data in the chart,Cliquez sur un label au-dessus du graphique pour afficher/masquer les données associées à ce label dans le graphique,Haga clic en una etiqueta en la parte superior del gráfico para mostrar/ocultar estos datos,Klik op een label boven de grafiek om de gegevens die bij dit label horen in de grafiek weer te geven/te verbergen,チャート上部のラベルをクリックすると、該当データの表示／非表示を切り替えられます。
barchart-hover-mouse-for-details,Hover the mouse over a bar to display details related to this bar,Passez la souris sur une barre pour afficher les détails relatifs à cette barre,Pase el ratón sobre una barra para mostrar los detalles relacionados con esta barra,Plaats de muisaanwijzer op een balk om details over die balk te bekijken,バーの上にマウスをホバーすると、そのバーに関する詳細が表示されます。
black,Black,Noir,Negro,Zwart,黒
blind-mode-explanation,"If blind mode is enabled, a contributor will not see image filename. The filename will not influence his work. Filename potentially contains the type of experiment.","Si le mode aveugle est activé, les contributeurs ne verront pas les noms des images du projet. Cela peut être utile lorsque les noms des images contiennent des informations (par exemple sur le type d'expérience) qui pourraient potentiellement influencer le travail des contributeurs.","Si el modo ciego está habilitado, los colaboradores no verán el nombre de archivo de la imagen. El nombre de archivo puede contener información (como el tipo de experimento) que podría influir en el trabajo de los colaboradores.","Als de blinde modus is ingeschakeld, zien bijdragers geen namen van projectafbeeldingen. Dit kan handig zijn wanneer afbeeldingsnamen informatie bevatten (bijvoorbeeld het type ervaring) dat het werk van bijdragers mogelijk kan beïnvloeden.",ブラインドモードを有効にすると、投稿者には画像のファイル名が表示されなくなります。ファイル名が作業に影響を与えることがなくなります。ファイル名には実験の種類が含まれている場合があります。
blind-mode,Blind mode,Mode aveugle,Modo ciego,blinde modus,ブラインドモード
blinded-name-indication,Blind,Masqué,Oculto,Verborgd,ブラインド
blue,Blue,Bleu,Azul,Blauw,青
boolean,Boolean,Booléen,Booleano,Booleaans,ブール値
brightness,Brightness,Luminosité,Brillo,Helderheid,明るさ
broadcast-my-position,Broadcast my position and allow other users to follow me,Diffuser ma position dans l'image et autoriser d'autres utilisateurs à me suivre,Transmita mi posición y permita que otros usuarios me sigan,Zend mijn positie in de afbeelding uit en laat andere gebruikers mij volgen,自分の位置をブロードキャストし、他のユーザーが追跡できるようにする
broadcast,Broadcast,Diffusion et suivi,Transmitir,Verspreiding en opvolging,ブロードキャスト
browser,Browser,Navigateur,Navegador,Browser,ブラウザ
button-accept-all,Accept all,Tout valider,Aceptar todo,Alles valideren,すべて承認
button-add-comment,Add comment,Ajouter un commentaire,Añadir comentario,Voeg een commentaar toe,コメントを追加
button-add,Add,Ajouter,Añadir,Toevoegen,追加
button-add-image,Add image,Ajouter une image,Añadir imagen,Voeg een afbeelding toe,画像を追加
button-add-image-group,Add image group,Ajouter un groupe d'images,Añadir grupo de imágenes,Voeg een afbeeldingsgroep toe,画像グループを追加
button-add-members,Add members,Ajouter des membres,Añadir miembros,Leden toevoegen,メンバーを追加
button-add-images-to-image-group,Add images,Ajouter des images,Añadir imágenes,Afbeeldingen toevoegen,画像を追加
button-added,Added,Ajouté,Añadida,Toegevoegd,追加済み
button-add-to-image-group,Add to image group,Ajouter à un groupe d'images,Agregar al grupo de imágenes,Toevoegen aan beeldgroep,画像グループに追加
button-adjust-image,Adjust image,Ajuster le plan,,Plan aanpassen,画像を調整
button-adjust,Adjust,Ajuster,,Aanpassen,調整
button-adjust-slice,Adjust slice,Ajuster l'image,,Afbeelding aanpassen,スライスを調整
button-best-fit-zoom,Fit zoom to viewport,Ajuster le zoom à la vue,,Pas zoom aan om te bekijken,ビューポートに合わせてズーム
button-cancel-review,Cancel my review,Annuler la validation,Cancelar mi reseña,Review annuleren,レビューをキャンセル
button-cancel,Cancel,Annuler,Cancelar,Annuleren,キャンセル
button-center-view-on-annot,Center view on this annotation,Cadrer sur cette annotation,Cnetrar vista en anotación,Kader de view op deze annotatie,このアノテーションにビューを中央揃え
button-change-ontology,Change ontology,Changer l'ontologie,Cambiar ontología,Knop om de ontologie te veranderen,オントロジーを変更
button-change-password,Change password,Changer le mot de passe,Cambiar contraseña,Wachtwoord wijzigen,パスワードを変更
button-clear,Clear,Réinitialiser,Reiniciar,Resetten,クリア
button-close,Close,Fermer,Cerrar,Sluiten,閉じる
button-comments,Comments,Commentaires,Comentarios,Opmerkingen,コメント
button-compute-histogram,Compute histogram,Calculer l'histogramme,Calcular histograma,Histogram berekenen,ヒストグラムを計算
button-compute-profile,Compute profile,Calculer le profil,,Profiel berekenen,プロファイルを計算
button-confirm,Confirm,Confirmer,Confirmar,Bevestigen,確認
button-continue-review-later,Continue my review later,Continuer la validation plus tard,Continuar mi revisión más tarde,Ga later verder met de review,レビューを後で続ける
button-continue-review,Continue review,Continuer la validation,Continuar reseña,Validatie voortzetten,レビューを続ける
button-copy-url,Copy URL,Copier l'URL,Copiar URL,URL kopieren,URL をコピー
button-copy,Copy,Copier,Copiar,Kopiëren,コピー
button-delete,Delete,Supprimer,Eliminar,Verwijderen,削除
button-details,Details,Détails,Detalles,Details,詳細
button-download,Download,Télécharger,Descargar,Downloaden,ダウンロード
button-edit,Edit,Modifier,Editar,Bewerken,編集
button-export-as-csv,Export as CSV,Exporter CSV,Exportar como CSV,CSV exporteren,CSV としてエクスポート
button-full-text,See full text,Voir l'entièreté,Ver texto completo,Alles zien,全文を表示
button-get-username,Get username,Récupérer le nom d'utilisateur,Recuperar nombre de usuario,Usersnaam ophalen,ユーザー名を取得
button-hide-filters,Hide filters,Cacher les filtres,Ocultar filtros,Verberg filters,フィルターを非表示
button-hide,Hide,Masquer,Ocultar,Verbergen,非表示
button-kill,Kill,Arrêter,Abortar,Stoppen,強制終了
button-less,Less,Moins,Menos,Minder,折りたたむ
button-load-more,Load more,Plus,Cargar más,Meer loaden knop,さらに読み込む
button-lock,Lock,Verrouiller,Bloquear,blokkeren,ロック
button-manage-members,Manage members,Gestion des membres,Administrar miembros,Leden managen,メンバーを管理
button-metadata,Metadata,Métadonnées,Metadatos,Metagegevens,メタデータ
button-more-info,More information,Plus d'informations,Más información,Meer informatie,詳細情報
button-more,More,Plus,Más,Meer,さらに表示
button-new-tag,New tag,Nouveau tag,Nueva etiqueta,nieuwe tag,新しいタグ
button-new-user,New user,Nouvel utilisateur,Nuevo usuario,Nieuwe user,新しいユーザー
button-next-annot-link,Next link,Lien suivant,Siguiente enlace,Volgende koppeling,次のリンク
button-next-image,Next image,Image suivante,Imagen siguiente,Volgende afbeelding,次の画像
button-next-image-in-group,Next image in group,Image suivante dans le groupe,Siguiente imagen en grupo,Volgende afbeelding in groep,グループ内の次の画像
button-open,Open,Ouvrir,Abierto,Openen,開く
button-previous-annot-link,Previous link,Lien précédent,Enlace anterior,Vorige koppeling,前のリンク
button-previous-image,Previous image,Image précédente,Imagen anterior,Vorige afbeelding,前の画像
button-previous-image-in-group,Previous image in group,Image précédente dans le groupe,imagen anterior en grupo,Vorige afbeelding in groep,グループ内の前の画像
button-properties,Properties,Propriétés,Propiedades,Eigenschappen,プロパティ
button-refresh,Refresh,Rafraîchir,Actualizar,Refresh,更新
button-reject-all,Reject all,Tout rejeter,Rechazar todo,Alles weigeren,すべて拒否
button-remove-selected-members,Remove selected members,Retirer les membres sélectionnés,Eliminar miembros seleccionados,Verwijder geselecteerde leden,選択したメンバーを削除
button-remove,Remove,Supprimer,Eliminar,Verwijderen,削除
button-remove-from-image-group,Remove from image group,Retirer d'un groupe d'images,Eliminar del grupo de imágenes,Verwijderen uit afbeeldingsgroep,画像グループから削除
button-rename,Rename,Renommer,Renombrar,Hernoemen,名前を変更
button-reset-opacities,Reset opacities,Réinitialiser les opacités,Restablecer niveles de opacidad,Dekkingen resetten,不透明度をリセット
button-reset,Reset,Réinitialiser,Reiniciar,Resetten,リセット
button-reset-password,Reset password,Réinitaliser le mot de passe,Restablecer la contraseña,Reset wachtwoord,パスワードをリセット
button-reset-zoom,Reset zoom,Réinitialiser le zoom,,Zoom resetten,ズームをリセット
button-retry,Retry,Réessayer,Rever,Opnieuw proberen,再試行
button-save,Save,Sauvegarder,Guardar,Save,保存
button-set-calibration,Set calibration,Calibrer,Establecer calibración,Kalibreren,キャリブレーションを設定
button-set-magnification,Set magnification,Changer le grossissement,Establecer nivel de aumento,De vergroting veranderen,倍率を設定
button-share,Share,Partager,Compartir,Delen,共有
button-show-filters,Show filters,Montrer les filtres,Mostrar filtros,Toon filters,フィルターを表示
button-show,Show,Montrer,Mostrar,Tonen,表示
button-show-linked-annots,Show all linked annotations,Montrer toutes les annotations liées,Mostrar todas las anotaciones vinculadas,Toon alle gekoppelde annotaties,リンクされたすべてのアノテーションを表示
button-start-review,Start review,Commencer la validation,Iniciar revisión,Review starten,レビューを開始
button-start,Start,Uploader,Comenzar,Uploaden,開始
button-switch-histogram-scale-to-linear,Switch to linear histogram,Utiliser un histogramme linéaire,Cambiar a histograma lineal,Schakel over naar lineair histogram,線形ヒストグラムに切り替え
button-unlink,Unlink,Séparer,Desconectar,Scheiden,リンク解除
button-switch-histogram-scale-to-log,Switch to log histogram,Utiliser un histogramme log,Cambiar a histograma de registro,Schakel over naar loghistogram,対数ヒストグラムに切り替え
button-unlock,Unlock,Déverrouiller,Desbloquear,Unlock,ロック解除
button-unvalidate-and-continue-review,Unvalidate and continue my review,Annuler la validation,Anular y continuar mi reseña,Validatie annuleren,検証を取り消してレビューを続ける
button-unvalidate-review,Unvalidate my review,Annuler la validation,Anular mi reseña,Validatie annuleren knop,レビューの検証を取り消す
button-validate-review,Validate my review,Valider l'image,Validar mi reseña,Review valideren,レビューを検証
button-view-activity,View activity,Voir l'activité,Ver actividad,Activiteit bekijken,アクティビティを表示
button-view,View,Voir,Ver,View,表示
button-view-all,View all,Tout voir,Ver todo,Alles zien,すべて表示
button-view-crop,View crop,Voir le crop,Ver recorte,View het crop,切り抜きを表示
button-view-in-image,View in image,Voir dans l'image,Ver en imagen,Zie op de afbeelding,画像内で表示
by-term,By term,Par terme,Por término,Per termijn,用語別
by,By,Par,Por,Door,作成者
by-track,By track,Par trace,,Per track,トラック別
calibrate-image,Calibrate image,Calibrer l'image,Calibrar imagen,Afbeelding kalibreren,画像のキャリブレーション
cancel-upload,Cancel upload,Annuler l'upload,Cancelar carga,Uploaden annuleren,アップロードをキャンセル
cannot-delete-ontology-with-projects,Cannot delete the ontology: it is used in projects,Cette ontologie ne peut être supprimée : elle est utilisée dans des projets.,No se puede eliminar la ontología: se usa en proyectos,Deze ontologie kan niet worden verwijderd: deze wordt gebruikt in projecten.,オントロジーを削除できません：プロジェクトで使用中です。
categorization,Categorization,Catégorisation,Categorización,Categorisering,カテゴリ分類
change-ontology-warning-message,Changing the ontology will result in the deletion of all existing terms associations. This operation will not be recoverable with undo button!,Changer l'ontologie aura pour effet de supprimer toutes les associations annotation-terme existantes. Cette action est irréversible.,Cambiar la ontología dará como resultado la eliminación de todas las asociaciones de términos existentes. ¡Esta operación no se puede deshacer!,"Als u de ontologie wijzigt, worden alle bestaande annotatie-termassociaties verwijderd. Deze actie is onomkeerbaar.",オントロジーを変更すると、既存のすべての用語の関連付けが削除されます。この操作は元に戻すボタンでは取り消せません！
change-ontology,Change ontology,Changer l'ontologie,Cambiar ontología,Ontologie veranderen,オントロジーを変更
channel-abbr,ch.,can.,,kan.,ch.
channel,Channel,Canal,,Kanaal,チャンネル
checking-integrity,Checking integrity,Vérification de l'intégrité en cours,,Integriteitscontrole wordt uitgevoerd,整合性を確認中
choose-file-or-drop,Click and choose a file or drop it here,Cliquez ici ou glissez-déposez le fichier de votre choix,Haga clic y elija un archivo o suéltelo aquí,Klik hier of sleep de file van uw keuze,クリックしてファイルを選択するか、ここにドロップしてください
circle,Circle,Cercle,Círculo,Cirkel,円
classic-mode-explanation,"Contributors will be able to add, edit or delete project data, annotations, properties and descriptions on all layers.","Les contributeurs auront le droit d'ajouter, d'éditer et de supprimer des données dans ce projet sans restriction, y compris des annotations, des propriétés et des descriptions sur les calques d'autres utilisateurs.","Los colaboradores podrán agregar, editar o eliminar datos del proyecto, anotaciones, propiedades y descripciones en todas las capas.","Bijdragers hebben het recht om zonder beperking gegevens in dit project toe te voegen, te bewerken en te verwijderen, inclusief annotaties, eigenschappen en beschrijvingen op lagen van andere gebruikers.",コントリビューターはすべてのレイヤーのプロジェクトデータ、アノテーション、プロパティ、説明を追加・編集・削除できます。
classic,Classic (fully collaborative),Classique (collaboratif),Clásico (totalmente colaborativo),Klassiek (collaboratief),クラシック（完全協働型）
click-or-drop-new-file,Click or drop new file to replace current one,Cliquez ici our glissez-déposez un nouveau fichier pour remplacer le fichier actuel,Haga clic o suelte el archivo nuevo para reemplazar el actual,Klik hier om een ??nieuwe file te slepen en neer te zetten om het huidige bestand te vervangen,クリックまたは新しいファイルをドロップして現在のファイルを置き換える
close-admin-session,Close admin session,Fermer la session admin,Cerrar sesión de administrador,De adminsessie sluiten,管理者セッションを終了
color,Color,Couleur,Color,Kleur,カラー
colors,Colors,Couleurs,Colores,Kleuren,カラー
command-line-flag,Command line flag,Argument de la ligne de commande,Flag de línea de comando,Opdrachtregelargument,コマンドラインフラグ
comment,Comment,Commentaire,Comentario,Opmerking,コメント
comments,Comments,Commentaires,Comentarios,Opmerkingen,コメント
communication-error,Communication error,Erreur de communication,Error de comunicación,Communicatie fout,通信エラー
companion-files,Companion files,Fichiers liés,,Gerelateerde files,コンパニオンファイル
configuration,Configuration,Configuration,Configuración,Configuratie,設定
confirm-annotation-group-merge,The two annotations you are about to link already each have links with different annotations.<br>Are you sure to link these two annotations and their respective existing links?<br>This action can only be undone by unlinking annotations one by one.,Les deux annotations que vous êtes sur le point de lier ont déjà chacune des liens avec des annotations différentes.<br>Êtes-vous certain de vouloir lier ces deux annotations et leurs liens respectifs ?<br>Cette action ne peut être annulée qu'en déliant les annotations une par une.,Las dos anotaciones que está a punto de vincular ya tienen vínculos con anotaciones diferentes.<br>¿Está seguro de vincular estas dos anotaciones y sus respectivos vínculos existentes?<br>Esta acción solo se puede deshacer desvinculando las anotaciones una por una.,"De twee annotaties die u gaat koppelen, hebben elk al links met verschillende annotaties.<br>Weet u zeker dat u deze twee annotaties en hun respectieve bestaande links wilt koppelen?<br>Deze actie kan alleen ongedaan worden gemaakt door annotaties één voor één te ontkoppelen.",リンクしようとしている2つのアノテーションは、それぞれ異なるアノテーションとのリンクをすでに持っています。<br>この2つのアノテーションおよびそれぞれの既存リンクをリンクしてもよろしいですか？<br>この操作は、アノテーションを1つずつリンク解除することによってのみ元に戻せます。
confirm-close-project-message,Do you really want to close this project? The {viewers} it contains will be closed as well,Êtes-vous sûr de vouloir fermer ce projet ? Les {viewers} qu'il contient seront également fermés.,¿Está seguro de cerrar este proyecto? Los {viewers} que contiene también se cerrarán,"Bent u zeker dat u dit project wilt sluiten? De {viewers} die het bevat, worden ook gesloten.",このプロジェクトを本当に閉じますか？含まれている{viewers}も一緒に閉じられます。
confirm-annotation-link,Confirm annotation linking,Confirmer la création des liens entre annotations,Confirmar vinculación de anotaciones,Bevestig het koppelen van annotaties,アノテーションのリンクを確認
confirm-close-project,Close project,Fermer le projet,Cerrar proyecto,Project afsluiten,プロジェクトを閉じる
